,date,incident_id,state,n_killed,n_injured,total
236423,2018-03-11,1067296,Michigan,0,5,5
179638,2017-04-02,809683,Iowa,0,5,5
187176,2017-05-14,843045,Illinois,0,5,5
79917,2015-07-15,374602,Georgia,0,5,5
179423,2017-04-01,809815,California,0,5,5
87172,2015-08-29,404238,Tennessee,3,2,5
6414,2014-02-16,107673,Indiana,0,5,5
80086,2015-07-16,375773,Texas,0,5,5
79467,2015-07-12,373095,Illinois,2,3,5
79849,2015-07-15,374630,South Carolina,4,1,5
177963,2017-03-24,802425,California,1,4,5
133121,2016-06-29,592207,Nevada,5,0,5
128537,2016-05-30,568528,Maryland,0,5,5
156074,2016-11-12,699303,Connecticut,0,5,5
232157,2018-02-10,1046961,Kentucky,5,0,5
130372,2016-06-11,577574,New Mexico,5,0,5
155715,2016-11-09,696917,Washington,0,5,5
130433,2016-06-11,577073,California,3,2,5
130656,2016-06-13,579786,New York,0,5,5
130664,2016-06-13,580279,Illinois,0,5,5
155098,2016-11-05,693401,South Carolina,0,5,5
154961,2016-11-05,693290,Illinois,0,5,5
154432,2016-11-02,692025,Arkansas,1,4,5
131965,2016-06-22,586122,Georgia,1,4,5
132211,2016-06-24,587769,Maryland,3,2,5
132216,2016-06-24,587735,Connecticut,0,5,5
132480,2016-06-26,588867,Georgia,1,4,5
132565,2016-06-26,589159,North Carolina,0,5,5
153843,2016-10-30,688592,Texas,0,5,5
128490,2016-05-30,568745,California,0,5,5
156227,2016-11-13,700232,California,3,2,5
128300,2016-05-29,568721,Washington,0,5,5
123899,2016-05-01,551053,Tennessee,0,5,5
122695,2016-04-23,546550,Kansas,1,4,5
122722,2016-04-24,547319,Illinois,2,3,5
122728,2016-04-24,546760,Virginia,0,5,5
122907,2016-04-25,547827,Florida,0,5,5
160035,2016-12-05,719128,New Mexico,4,1,5
123192,2016-04-26,548333,Maryland,1,4,5
123657,2016-04-29,550619,California,0,5,5
124644,2016-05-06,555873,Michigan,1,4,5
156287,2016-11-13,699605,Florida,3,2,5
125490,2016-05-11,557479,Illinois,0,5,5
125530,2016-05-11,557589,Alabama,1,4,5
232564,2018-02-13,1049024,Louisiana,2,3,5
125993,2016-05-14,559042,Georgia,0,5,5
126150,2016-05-15,565244,Georgia,5,0,5
157813,2016-11-22,708392,Florida,1,4,5
127351,2016-05-23,564470,New Jersey,0,5,5
153784,2016-10-29,689009,California,0,5,5
133214,2016-06-30,592724,Illinois,1,4,5
94629,2015-10-16,431678,Hawaii,0,5,5
133687,2016-07-03,594051,Louisiana,2,3,5
139438,2016-08-06,623195,Pennsylvania,5,0,5
230126,2018-01-27,1037541,California,0,5,5
